id_candidato_bd,ano,cargo,nome_candidato,votos,sigla_partido,sigla_uf,genero,despesa_total,resultado_bin,incumbente
939525,2014,deputado federal,Raimundo Angelim Vasconcelos,39844,PT,AC,masculino,405006.67,1,0
314174,2014,deputado federal,Carlos Cesar Correia De Messias,26448,PSB,AC,masculino,339750.98,1,0
1786754,2014,deputado federal,Wherles Fernandes Da Rocha,23466,PSDB,AC,masculino,125273.14,1,0
479674,2014,deputado federal,Leonardo Cunha De Brito,20876,PT,AC,masculino,736866.25,1,0
510772,2014,deputado federal,Jéssica Rojas Sales,20339,PMDB,AC,feminino,321399.93,1,0
1439092,2014,deputado federal,Sebastião Sibá Machado Oliveira,18395,PT,AC,masculino,399354.02,1,1
28242,2014,deputado federal,Flaviano Flávio Baptista De Melo,18372,PMDB,AC,masculino,657090.41,1,1
225001,2014,deputado federal,Alan Rick Miranda,17903,PRB,AC,masculino,470999.17,1,0
1787817,2014,deputado federal,Francisco Carlos Oliveira De Lima,10306,DEM,AC,masculino,7030.0,0,0
1404397,2014,deputado federal,Normando Rodrigues Sales,6451,DEM,AC,masculino,201822.2,0,0
271938,2014,deputado federal,José Augusto Leandro Rodrigues,2011,DEM,AC,masculino,3545.6,0,0
1304566,2014,deputado federal,Shirley Torres De Araújo,1377,PV,AC,feminino,52319.07,0,0
219532,2014,deputado federal,Maria Joicilene Souza Silva Nobre,1199,PV,AC,feminino,10780.0,0,0
1788157,2014,deputado federal,Sebastião Alves Rodrigues Manchinery,1135,DEM,AC,masculino,4656.0,0,0
1787439,2014,deputado federal,Joaquim Lira De Carvalho,962,DEM,AC,masculino,530.08,0,0
1605341,2014,deputado federal,Hilário José Do Nascimento,838,PV,AC,masculino,13447.07,0,0
73895,2014,deputado federal,Valdete De Souza,668,PMN,AC,feminino,19271.14,0,0
505724,2014,deputado federal,Francisco Antonio Lira Da Silva Monteiro,665,PV,AC,masculino,1023.06,0,0
1556602,2014,deputado federal,Maria Socorro Soares De Oliveira,663,DEM,AC,feminino,3754.0,0,0
1450144,2014,deputado federal,Saulo De Freitas Ribeiro,525,DEM,AC,masculino,4517.76,0,0
7802,2014,deputado federal,Geraldo Silva Dos Santos,383,PSOL,AC,masculino,3180.04,0,0
240457,2014,deputado federal,Maria Teresa Gauna,145,DEM,AC,feminino,1520.0,0,0
428855,2014,deputado federal,Emerson Da Silva Santos,37,PSOL,AC,masculino,1580.0,0,0
711982,2014,deputado federal,Ana Paula Morais De Holanda,15,PSOL,AC,feminino,1580.0,0,0
1700068,2014,deputado federal,João Henrique Holanda Caldas,135929,SOLIDARIEDADE,AL,masculino,835334.63,1,0
928613,2014,deputado federal,Marx Beltrão Lima Siqueira,123317,PMDB,AL,masculino,1262000.0,1,0
1655473,2014,deputado federal,Pedro Torres Brandão Vilela,119582,PSDB,AL,masculino,1897203.49,1,0
536394,2014,deputado federal,Arthur Cesar Pereira De Lira,98231,PP,AL,masculino,1534007.44,1,1
922571,2014,deputado federal,Ronaldo Augusto Lessa Santos,88125,PDT,AL,masculino,1828213.05,1,0
1348555,2014,deputado federal,Givaldo De Sá Gouveia Carimbão,82582,PROS,AL,masculino,1323921.12,1,1
689266,2014,deputado federal,Maurício Quintella Malta Lessa,76706,PR,AL,masculino,2281353.43,1,1
1427741,2014,deputado federal,Jose Cicero Soares De Almeida,64435,PRTB,AL,masculino,362441.34,1,0
1465578,2014,deputado federal,Paulo Fernando Dos Santos,53284,PT,AL,masculino,525799.99,1,0
811213,2014,deputado federal,Valbertson De Brito Lyra Santos,2573,PSOL,AL,masculino,2750.4,0,0
1465692,2014,deputado federal,Severino Correia Cavalcante,1769,PTC,AL,masculino,2500.0,0,0
1606710,2014,deputado federal,Paulo Roberto Chagas Santos,1755,PSOL,AL,masculino,1176.5,0,0
222372,2014,deputado federal,Paulo Sérgio Da Silva Falcão,1752,PSTU,AL,masculino,17743.31,0,0
589338,2014,deputado federal,José Júnior Nascimento Silva,997,PSOL,AL,masculino,500.0,0,0
1160568,2014,deputado federal,Luanda Rosa Costa Lins,211,PTC,AL,feminino,0.0,0,0
1427787,2014,deputado federal,Edierson Gomes Da Silva,149,PTC,AL,masculino,0.0,0,0
1486587,2014,deputado federal,Iraci Batista Da Silva,145,PSOL,AL,feminino,0.0,0,0
537590,2014,deputado federal,Maria Da Glória Santos Oliveira,109,PSOL,AL,feminino,110.0,0,0
1148377,2014,deputado federal,Polyana Nobre De Lima,0,PTC,AL,feminino,0.0,0,0
493201,2014,deputado federal,Arthur Virgilio Do Carmo Ribeiro Bisneto,250916,PSDB,AM,masculino,5633092.26,1,0
1442482,2014,deputado federal,Silas Camara,166281,PSD,AM,masculino,1063484.5,1,1
1140471,2014,deputado federal,Alfredo Pereira Do Nascimento,120060,PR,AM,masculino,2863263.04,1,0
293171,2014,deputado federal,Marcos Sergio Rotta,117955,PMDB,AM,masculino,1119742.02,1,0
495349,2014,deputado federal,Hissa Nagib Abrahão Filho,113646,PPS,AM,masculino,1553728.35,1,0
1811054,2014,deputado federal,Pauderney Tomaz Avelino,103904,DEM,AM,masculino,2408957.81,1,1
1346815,2014,deputado federal,Atila Sidney Lins De Albuquerque,89453,PSD,AM,masculino,706103.62,1,1
1644008,2014,deputado federal,Maria Da Conceição Sampaio Moura,71878,PP,AM,feminino,1345837.75,1,0
475065,2014,deputado federal,Carlos Renê De Souza Fernandes,49275,PSB,AM,masculino,23377.8,0,0
1686463,2014,deputado federal,Luiz Antonio Campos Correa,5585,PRP,AM,masculino,44744.1,0,0
208753,2014,deputado federal,Stanley Pinheiro Braga,5157,PSB,AM,masculino,40146.9,0,0
74883,2014,deputado federal,Anderson Jose Razori,2933,PRP,AM,masculino,21875.5,0,0
